Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
4-Dec-20,569.35,16337589997,18699.77,11,0,247
5-Dec-20,596.6,13498010566,19154.23,11,0,248
6-Dec-20,601.91,11290893016,19345.12,8,0,249
7-Dec-20,591.84,10720480962,19191.63,8,0,250
8-Dec-20,554.83,14398919320,18321.14,8,0,251
9-Dec-20,573.48,15855915840,18553.92,8,0,252
10-Dec-20,559.68,11672582040,18264.99,8,0,253
11-Dec-20,545.8,11098819124,18058.9,8,0,254
12-Dec-20,568.57,8534557897,18803.66,8,0,255
13-Dec-20,589.66,9070377862,19142.38,11,0,256
14-Dec-20,586.01,8125837102,19246.64,11,0,257
15-Dec-20,589.36,9326645840,19417.08,11,0,258
16-Dec-20,636.18,15817248373,21310.6,11,0,259
17-Dec-20,642.87,25479532147,22805.16,11,0,260
18-Dec-20,654.81,15756303983,23137.96,11,0,261
19-Dec-20,659.3,12830893778,23869.83,11,0,262
20-Dec-20,638.29,13375855442,23477.29,11,0,263
21-Dec-20,609.82,14419493621,22803.08,11,0,264
22-Dec-20,634.85,14745890080,23783.03,11,0,265
23-Dec-20,583.71,15261413038,23241.35,11,0,266
24-Dec-20,611.61,14317413703,23735.95,11,0,267
25-Dec-20,626.41,13520927700,24664.79,11,0,268
26-Dec-20,635.84,14761125202,26437.04,11,0,269
27-Dec-20,682.64,26093552821,26272.29,18,0,270
28-Dec-20,730.4,24222565862,27084.81,18,0,271
29-Dec-20,731.52,18710683199,27362.44,18,0,272
30-Dec-20,751.62,17294574210,28840.95,18,0,273
31-Dec-20,737.8,13926846861,29001.72,18,0,274
1-Jan-21,730.37,13652004358,29374.15,18,0,275
2-Jan-21,774.53,19740771179,32127.27,18,0,276
3-Jan-21,975.51,45200463368,32782.02,52,0,277
4-Jan-21,1040.23,56945985763,31971.91,52,0,278
5-Jan-21,1100.01,41535932781,33992.43,52,0,279
6-Jan-21,1207.11,44699914188,36824.36,52,0,280
7-Jan-21,1225.68,40468027280,39371.04,52,0,281
8-Jan-21,1224.2,44334826666,40797.61,52,0,282
9-Jan-21,1281.08,33233105361,40254.55,52,0,283
10-Jan-21,1262.25,40616938053,38356.44,37,0,284
11-Jan-21,1090.15,60733630300,35566.66,37,0,285
12-Jan-21,1043.43,37494601692,33922.96,37,0,286
13-Jan-21,1130.74,30109792795,37316.36,37,0,287
14-Jan-21,1218.45,33410915929,39187.33,37,0,288
15-Jan-21,1171.83,35972039310,36825.37,37,0,289
16-Jan-21,1233.54,32319240157,36178.14,37,0,290
17-Jan-21,1230.17,29258032819,35791.28,30,1,291
18-Jan-21,1257.28,25817455560,36630.07,30,1,292
19-Jan-21,1377.3,47195935190,36069.8,30,1,293
20-Jan-21,1382.27,46784030909,35547.75,30,1,294
21-Jan-21,1121.57,45932464754,30825.7,30,1,295
22-Jan-21,1236.51,43918338506,33005.76,30,1,296
23-Jan-21,1230.99,27253895441,32067.64,30,1,297
24-Jan-21,1391.61,36418163554,32289.38,33,1,298
25-Jan-21,1324.41,43565777745,32366.39,33,1,299
26-Jan-21,1357.06,41572917750,32569.85,33,1,300
27-Jan-21,1253.19,39394416990,30432.55,33,1,301
28-Jan-21,1332.49,34637234789,33466.1,33,1,302
29-Jan-21,1382.52,53611955259,34316.39,33,1,303
30-Jan-21,1376.12,30616574234,34269.52,33,1,304
31-Jan-21,1314.99,25198853581,33114.36,45,1,305
1-Feb-21,1369.04,29210670920,33537.18,45,1,306
2-Feb-21,1515.19,45437142801,35510.29,45,1,307
3-Feb-21,1660.91,41874566399,37472.09,45,1,308
4-Feb-21,1594.76,44396871836,36926.07,45,1,309
5-Feb-21,1718.65,40108628454,38144.31,45,1,310
6-Feb-21,1677.85,39873420648,39266.01,45,1,311
